,site,date,stars,title,text,location
3343,www.godaddy.com,2022-11-19T15:13:06.000Z,5,Tyler2022KPJ,Tyler - was friendly & professional - thank you - KPJ2022,US
3344,www.godaddy.com,2022-11-29T09:13:16.000Z,1,Shameful company and shameful client…,"Shameful company and shameful client care. We were asked by the “payment verification” team to upload ID, bank statements, and photos of our debit card to prove that it was us who made the £1 domain name payment. Did this, and were told everything was hunky dory. About 10 minutes later the site disappeared. To cut a long story short, it turns out they absolutely love clients who operate fraudulent websites (backhanders, anyone?), but are not so welcoming to clients whose purpose is to offer a fraud prevention service, as we do, Oh yes, forgot, they steal your domain name as well. Avoid these dirty scammers at all cost. UPDATE So these dirty scammers have now replied with their fits- all copy-and-paste replies asking for “further information”. Bottom line: if you did provide this “further information”, they won’t respond - AGAIN. Why? Because the only purpose of GoDaddy is to steal your domain and then sell it on the open market.  Oh yes, one more thing: after providing them with ID and debit card details as per their bogus  “payment verification” team, our credit card started lighting up all over the world like a Christmas tree. So they’re identity thieves as well UPDATE Nr 2 Just received a reply a reply from GoDaddy telling us to f.u.c.k off. UPDATE Nr 3 GoDaddy STOLE the domain name we paid for and has NO intention of either refunding us or allowing us to transfer it to another registrar. UPDATE Nr 4 Still no sign of our refund; in the meantime one or more employees of GoDaddy appear to have used our debit card to do their Christmas shopping UPDATE Nr 5 Still no reply received NOR a refund appearing in our bank account. Meanwhile, someone within GoDaddy U.K. used our debit card to do their Christmas shopping. Scandalous. UPDATE Nr 6 Fraudsters GoDaddy steal your domain name and identity. Stay well clear. UPDATE Nr 7 Despite the fake “copied-and-pasted” reply Godaddy send to all their scammed customers, not a single reply to our numerous emails has been received.  It’s safe to assume that every single 5 star review on this site has been purchased by these fraudster. No refund received to date for the domain they stole from us, and our debit card used by Godaddy to make their Christmas purchases. Disgusting dirty scammers. UPDATE Nr 8 Still no refund from these dirty scammers and no replies to my emails. The identity theft by Godaddy has now been reported to the Police UPDATE Nr 9 GoDaddy stills your credit card details. Stay well away",GB
3345,www.godaddy.com,2022-11-19T13:09:11.000Z,5,Great Customer Service,"Date of experience:   November 19, 2022",US
3346,www.godaddy.com,2022-11-19T12:39:08.000Z,5,Great and prompt service.,"Date of experience:   November 18, 2022",CA
3347,www.godaddy.com,2022-11-19T07:51:55.000Z,5,I had been struggling with building my…,I had been struggling with building my webpage and attaching to my domain and the representative i was connected to was so very helpful and completely resolved my issue and guided me quickly through so that i could get my business running! Absolutely stellar service!,US
3348,www.godaddy.com,2022-11-19T06:35:08.000Z,5,Great products and services,"Go Daddy has always been easy to use, convenient and cost effective. Customer service- always helpful and polite. Can call any time. I wouldn’t use anyone else.",AU
3349,www.godaddy.com,2022-11-19T06:05:26.000Z,5,Knowledgeable and super friendly rep,"Date of experience:   November 17, 2022",US
3350,www.godaddy.com,2022-11-19T05:18:27.000Z,5,Ease & Excellence,Great easy to navigate and 24/7 phone service availability with excellent customer service made my new website so easy to secure.,NZ
3351,www.godaddy.com,2022-11-19T04:08:39.000Z,5,Marina and Kendall were patient,"Marina and Kendall were patient, good listeners, and very helpful answering my questions. Jonathan Blain was helpful setting up this sales effort. Everything he outlined is coming through and I'm hopeful that this will produce some sales.",US
3352,www.godaddy.com,2022-11-19T04:01:35.000Z,5,The customer service rep was amazing amazing…,The customer service rep was amazing her name was Alicia. She was kind understanding and above all patient with someone that had no idea of how to create or design a website only an idea. She is truly an asset to the Go Daddy family and I will recommend Go Daddy to everyone.,US
